state,re_value,sample_size
0-0-0-0-0-0,0.4674175382139984,7458
0-0-0-0-0-1,1.6607142857142858,56
0-0-0-0-1-0,0.9511754068716094,553
0-0-0-0-1-1,1.6582278481012658,79
0-0-0-1-0-0,0.9049586776859504,1694
0-0-0-1-0-1,1.9784172661870503,139
0-0-0-1-1-0,1.494172494172494,429
0-0-0-1-1-1,2.24,100
0-0-1-0-0-0,0.23292881724325304,5521
0-0-1-0-0-1,0.9182879377431906,257
0-0-1-0-1-0,0.6506666666666666,750
0-0-1-0-1-1,1.444976076555024,209
0-0-1-1-0-0,0.544014904517932,2147
0-0-1-1-0-1,1.2994011976047903,334
0-0-1-1-1-0,0.9546061415220294,749
0-0-1-1-1-1,1.5692883895131087,267
0-0-2-0-0-0,0.07760381211708646,4407
0-0-2-0-0-1,0.31910112359550563,445
0-0-2-0-1-0,0.3064340239912759,917
0-0-2-0-1-1,0.7432432432432432,222
0-0-2-1-0-0,0.20301418439716312,2256
0-0-2-1-0-1,0.49443207126948774,449
0-0-2-1-1-0,0.43991179713340683,907
0-0-2-1-1-1,0.8217821782178217,303
0-1-0-0-0-0,0.42375031717838113,3941
0-1-0-0-0-1,1.2,30
0-1-0-0-1-0,0.8810408921933085,269
0-1-0-0-1-1,1.627906976744186,43
0-1-0-1-0-0,0.8865069356872636,793
0-1-0-1-0-1,1.9230769230769231,65
0-1-0-1-1-0,1.431924882629108,213
0-1-0-1-1-1,2.176470588235294,51
0-1-1-0-0-0,0.21421215242018538,2913
0-1-1-0-0-1,0.88,125
0-1-1-0-1-0,0.6413612565445026,382
0-1-1-0-1-1,1.3333333333333333,90
0-1-1-1-0-0,0.516003879728419,1031
0-1-1-1-0-1,1.1962025316455696,158
0-1-1-1-1-0,0.9408602150537635,372
0-1-1-1-1-1,1.5036496350364963,137
0-1-2-0-0-0,0.0679177837354781,2238
0-1-2-0-0-1,0.3170731707317073,205
0-1-2-0-1-0,0.23799582463465555,479
0-1-2-0-1-1,0.6320754716981132,106
0-1-2-1-0-0,0.1655933762649494,1087
0-1-2-1-0-1,0.4576271186440678,177
0-1-2-1-1-0,0.3383947939262473,461
0-1-2-1-1-1,0.6445783132530121,166
0-2-0-0-0-0,0.3869674185463659,1995
0-2-0-0-0-1,1.0476190476190477,21
0-2-0-0-1-0,0.7375,160
0-2-0-0-1-1,1.8125,16
0-2-0-1-0-0,0.7220843672456576,403
0-2-0-1-0-1,1.5681818181818181,44
0-2-0-1-1-0,1.1282051282051282,117
0-2-0-1-1-1,2.225806451612903,31
0-2-1-0-0-0,0.1697860962566845,1496
0-2-1-0-0-1,0.7471264367816092,87
0-2-1-0-1-0,0.5769230769230769,182
0-2-1-0-1-1,1.2641509433962264,53
0-2-1-1-0-0,0.3822975517890772,531
0-2-1-1-0-1,1.372093023255814,86
0-2-1-1-1-0,0.8883495145631068,206
0-2-1-1-1-1,1.3636363636363635,66
0-2-2-0-0-0,0.04914004914004914,1221
0-2-2-0-0-1,0.2111111111111111,90
0-2-2-0-1-0,0.14814814814814814,270
0-2-2-0-1-1,0.578125,64
0-2-2-1-0-0,0.12110726643598616,578
0-2-2-1-0-1,0.46835443037974683,79
0-2-2-1-1-0,0.24180327868852458,244
0-2-2-1-1-1,0.5543478260869565,92
1-0-0-0-0-0,0.5056179775280899,2670
1-0-0-0-0-1,1.625,24
1-0-0-0-1-0,1.0128755364806867,233
1-0-0-0-1-1,2.107142857142857,28
1-0-0-1-0-0,0.8969404186795491,621
1-0-0-1-0-1,2.061224489795918,49
1-0-0-1-1-0,1.651006711409396,149
1-0-0-1-1-1,2.1176470588235294,34
1-0-1-0-0-0,0.24115595416043847,2007
1-0-1-0-0-1,0.9629629629629629,108
1-0-1-0-1-0,0.6951219512195121,328
1-0-1-0-1-1,1.5729166666666667,96
1-0-1-1-0-0,0.5730622617534943,787
1-0-1-1-0-1,1.3189655172413792,116
1-0-1-1-1-0,0.9704797047970479,271
1-0-1-1-1-1,1.5172413793103448,87
1-0-2-0-0-0,0.08967551622418879,1695
1-0-2-0-0-1,0.30303030303030304,198
1-0-2-0-1-0,0.3819951338199513,411
1-0-2-0-1-1,0.7168141592920354,113
1-0-2-1-0-0,0.2072072072072072,777
1-0-2-1-0-1,0.43010752688172044,186
1-0-2-1-1-0,0.50625,320
1-0-2-1-1-1,1.1775700934579438,107
1-1-0-0-0-0,0.44274809160305345,3013
1-1-0-0-0-1,1.4545454545454546,22
1-1-0-0-1-0,0.9504950495049505,202
1-1-0-0-1-1,1.7407407407407407,27
1-1-0-1-0-0,0.945,600
1-1-0-1-0-1,2.022727272727273,44
1-1-0-1-1-0,1.6013071895424837,153
1-1-0-1-1-1,1.5675675675675675,37
1-1-1-0-0-0,0.20823902218198279,2209
1-1-1-0-0-1,0.8064516129032258,93
1-1-1-0-1-0,0.6647230320699709,343
1-1-1-0-1-1,1.4177215189873418,79
1-1-1-1-0-0,0.5678524374176548,759
1-1-1-1-0-1,1.131578947368421,114
1-1-1-1-1-0,0.82421875,256
1-1-1-1-1-1,1.505050505050505,99
1-1-2-0-0-0,0.08438356164383562,1825
1-1-2-0-0-1,0.3300970873786408,206
1-1-2-0-1-0,0.29850746268656714,402
1-1-2-0-1-1,0.743801652892562,121
1-1-2-1-0-0,0.1677175283732661,793
1-1-2-1-0-1,0.4,155
1-1-2-1-1-0,0.4897959183673469,343
1-1-2-1-1-1,0.7798165137614679,109
1-2-0-0-0-0,0.40208613728129206,2972
1-2-0-0-0-1,0.9615384615384616,26
1-2-0-0-1-0,0.7961165048543689,206
1-2-0-0-1-1,1.0769230769230769,26
1-2-0-1-0-0,0.7377358490566037,530
1-2-0-1-0-1,1.553191489361702,47
1-2-0-1-1-0,1.4654088050314464,159
1-2-0-1-1-1,1.7714285714285714,35
1-2-1-0-0-0,0.1837837837837838,2220
1-2-1-0-0-1,0.9354838709677419,93
1-2-1-0-1-0,0.4820846905537459,307
1-2-1-0-1-1,1.271604938271605,81
1-2-1-1-0-0,0.4696132596685083,724
1-2-1-1-0-1,1.1181818181818182,110
1-2-1-1-1-0,0.8983739837398373,246
1-2-1-1-1-1,1.4111111111111112,90
1-2-2-0-0-0,0.07897664071190211,1798
1-2-2-0-0-1,0.21666666666666667,180
1-2-2-0-1-0,0.17091836734693877,392
1-2-2-0-1-1,0.5384615384615384,117
1-2-2-1-0-0,0.1678224687933426,721
1-2-2-1-0-1,0.33653846153846156,104
1-2-2-1-1-0,0.3227665706051873,347
1-2-2-1-1-1,0.6837606837606838,117
2-0-0-0-0-0,0.6208530805687204,844
2-0-0-0-0-1,1.5555555555555556,9
2-0-0-0-1-0,1.0204081632653061,98
2-0-0-0-1-1,1.7777777777777777,18
2-0-0-1-0-0,0.94,200
2-0-0-1-0-1,2.076923076923077,13
2-0-0-1-1-0,1.608695652173913,46
2-0-0-1-1-1,2.75,8
2-0-1-0-0-0,0.31085043988269795,682
2-0-1-0-0-1,0.9791666666666666,48
2-0-1-0-1-0,0.8333333333333334,126
2-0-1-0-1-1,1.6136363636363635,44
2-0-1-1-0-0,0.6136363636363636,264
2-0-1-1-0-1,1.6216216216216217,37
2-0-1-1-1-0,1.263157894736842,95
2-0-1-1-1-1,1.75,24
2-0-2-0-0-0,0.08823529411764706,544
2-0-2-0-0-1,0.3472222222222222,72
2-0-2-0-1-0,0.4748603351955307,179
2-0-2-0-1-1,0.7142857142857143,49
2-0-2-1-0-0,0.2669491525423729,236
2-0-2-1-0-1,0.38596491228070173,57
2-0-2-1-1-0,0.45918367346938777,98
2-0-2-1-1-1,1.864864864864865,37
2-1-0-0-0-0,0.5235494880546075,1465
2-1-0-0-0-1,1.2,10
2-1-0-0-1-0,1.062992125984252,127
2-1-0-0-1-1,2.0,17
2-1-0-1-0-0,0.954225352112676,284
2-1-0-1-0-1,2.3684210526315788,19
2-1-0-1-1-0,1.6049382716049383,81
2-1-0-1-1-1,2.4375,16
2-1-1-0-0-0,0.2401402278702892,1141
2-1-1-0-0-1,0.890625,64
2-1-1-0-1-0,0.7302325581395349,215
2-1-1-0-1-1,1.2745098039215685,51
2-1-1-1-0-0,0.6291208791208791,364
2-1-1-1-0-1,1.5576923076923077,52
2-1-1-1-1-0,0.9545454545454546,132
2-1-1-1-1-1,1.5208333333333333,48
2-1-2-0-0-0,0.07862679955703211,903
2-1-2-0-0-1,0.3090909090909091,110
2-1-2-0-1-0,0.3673469387755102,245
2-1-2-0-1-1,0.6575342465753424,73
2-1-2-1-0-0,0.23615160349854228,343
2-1-2-1-0-1,0.2835820895522388,67
2-1-2-1-1-0,0.42771084337349397,166
2-1-2-1-1-1,0.7924528301886793,53
2-2-0-0-0-0,0.431980906921241,2514
2-2-0-0-0-1,1.55,20
2-2-0-0-1-0,1.0,185
2-2-0-0-1-1,1.5666666666666667,30
2-2-0-1-0-0,0.8306636155606407,437
